"geoAreaCode","geoAreaName","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17"
"148","Chad","17.86","70.83","68.59","29.19","8.33","65.38","100","29.17","34.38","43.33","16.67","17.27","0","37.5","47.38","13.89","46.51"
"152","Chile","59.9","65.63","73.85","31","33.33","70.58","100","70.83","85.94","73.57","33.33","35.45","16","53.33","47.38","32.55","48.42"
"156","China","43.69","65.63","69.36","23.57","19.44","70.96","100","37.5","73.44","46.67","10.56","37.33","6","43.33","47.38","9.72","57.95"
"170","Colombia","59.74","78.13","75.38","55.95","31.94","75.13","100","72.92","85.94","56.67","33.89","38.53","16.67","53.33","47.38","23.66","59.86"
"174","Comoros","23.2","65.63","64.74","15.67","8.33","51.21","100","41.67","35.94","42.38","25.56","16.36","9.33","40","49.76","9.72","52.07"
"178","Congo","23.81","65.63","68.59","10","8.33","61.21","100","33.33","60.94","36.67","16.67","26.36","0","40","47.38","13.89","48.75"
"188","Costa Rica","59.46","65.63","74.74","51","23.61","75.13","100","79.17","79.69","63.33","34.44","26.36","16","43.33","47.38","19.31","59.86"
"384","Côte d'Ivoire","23.81","65.63","72.44","42.05","33.33","70.96","100","62.5","67.19","43.33","16.67","35.45","0","50","47.38","17.78","58.88"
"191","Croatia","20.48","62.5","76.6","26.67","25","55.67","60","43.75","83.93","51.85","5.56","18.07","5","43.33","39.05","13.18","37.13"
"192","Cuba","14.69","65.63","73.21","42.05","19.44","62.63","90","27.08","67.19","36.67","21.85","22.75","2.67","43.33","47.38","12.36","39.92"
"196","Cyprus","32.84","62.5","76.79","27.41","26.39","61.67","60","43.75","83.93","48.15","10.56","18.07","9.67","43.33","41.43","9.24","36.4"
"203","Czechia","31.89","65.63","72.76","27.41","26.39","39","60","70.83","82.14","61.11","18.33","27.17","19","33.33","49.76","8.03","43.38"
"408","Democratic People's Republic of Korea","7.14","65.63","61.67","10","8.33","61.21","100","25","42.71","33.33","5.56","17.27","0","40","47.38","9.72","23.15"
"180","Democratic Republic of the Congo","27.38","65.63","60.9","25.67","8.33","75.13","100","37.5","48.44","33.33","16.67","26.36","0","36.67","47.38","11.11","52.72"
"208","Denmark","25.83","62.5","71.79","36.93","25","55.67","60","52.08","83.93","53.7","19.44","27.17","8.33","43.33","45.6","8.64","43.38"
"262","Djibouti","16.67","65.63","59.36","30.62","8.33","49.08","100","33.33","35.94","41.9","16.67","26.36","0","36.67","47.38","10.28","47.63"
"212","Dominica","16.67","62.5","30.64","36.33","8.33","47.04","100","25","35.94","38.33","5.56","35.45","5","40","41.13","17.71","52.67"
"214","Dominican Republic","40.24","65.63","75.38","51.67","37.5","58.46","100","64.58","54.69","61.9","16.67","35.45","0","43.33","47.38","20.42","59.86"
"218","Ecuador","49.15","65.63","75.38","50.48","26.39","75.13","100","70.83","73.44","55.24","30","37.59","14.67","43.33","49.76","20.42","53.98"
"818","Egypt","37.47","65.63","74.74","55.52","22.22","56.38","100","64.58","85.94","46.67","31.67","34.55","15.33","43.33","47.38","22.5","53.65"
"222","El Salvador","47.38","65.63","70.9","40.48","25","78.25","100","64.58","79.69","61.67","16.67","35.72","0","40","47.38","21.81","59.86"
"226","Equatorial Guinea","14.78","65.63","53.21","10","8.33","34.54","80","41.67","48.44","43.33","24.26","16.36","6","40","45.3","9.72","40.96"
"232","Eritrea","7.14","65.63","64.74","30.62","8.33","43.92","100","25","60.94","36.67","5.56","17.27","0","40","47.38","9.72","28.7"
"233","Estonia","38.08","65.63","71.79","36.19","13.89","61.02","60","43.75","83.93","66.93","15","27.17","15","40","37.26","26.06","36.4"
"748","Eswatini","27.79","65.63","68.59","23.52","8.33","67.46","80","37.5","46.88","45.24","32.96","26.36","16","37.5","45.3","9.72","59.53"
"231","Ethiopia","30.85","70.83","72.44","10","25","71.63","100","33.33","59.38","36.67","32.22","35.45","16","37.5","49.76","13.89","57.63"
"242","Fiji","30.02","65.63","62.31","10","19.44","54.85","100","33.33","48.44","46.67","32.04","26.68","16.67","53.33","47.38","16.67","58.55"
"246","Finland","41.45","62.5","75.64","38.52","36.11","55.95","60","56.25","83.93","52.12","20.56","27.17","20.33","53.33","49.76","16.97","42.65"
"250","France","34.1","62.5","77.56","36.93","26.39","62.81","60","54.17","83.93","70.63","19.07","27.17","19","53.33","49.76","23.03","42.65"
"266","Gabon","16.67","65.63","57.05","10","8.33","48.04","100","33.33","60.94","43.33","16.67","26.36","0","40","45.6","13.89","46.84"
"270","Gambia","38.67","70.83","72.44","32.05","8.33","67.88","100","37.5","48.44","46.67","31.11","26.36","16","40","45.6","9.72","58.42"
"268","Georgia","54.63","65.63","73.21","37.57","22.22","70.63","100","52.08","85.94","56.67","30","27.17","14.67","43.33","47.38","19.31","59.86"
"276","Germany","37.74","65.63","77.56","33.76","26.39","48.81","60","52.08","79.17","61.11","21.3","27.17","10.56","53.33","47.38","8.64","42.65"
"288","Ghana","37.55","65.63","80.13","37.76","15.28","75.13","100","52.08","67.19","51.9","25.56","38.53","6.67","43.33","49.76","16.67","59.86"
